Volume,Trade,Price,Priceop,Time,Depth
100,1,93.19,92.98,4.726295,100
1,1,93.19,92.98,6.373475,100
100,1,93.19,92.98,6.373564,100
45,1,93.19,92.98,6.373753,100
55,1,93.17,93.03,65.523154,300
45,1,93.17,93.03,65.523277,100
50,1,93.17,93.03,65.523302,100
5,1,93.17,93.03,65.523326,100
100,1,93.17,93.03,65.523384,100
100,1,93.17,93.03,65.52341,100
100,1,93.17,93.03,65.523437,100
100,1,93.17,93.03,65.523456,100
100,1,93.17,93.03,65.52348,100
100,1,93.17,93.03,65.5237,100
100,1,93.18,93.03,65.525273,100
100,-1,93.04,93.18,65.534551,200
200,1,93.18,93.03,65.542736,100
100,1,93.19,93.05,65.542812,100
100,-1,93.05,93.19,65.548621,100
200,-1,93.03,93.19,65.551236,200
100,1,93.19,93.03,65.588262,200
100,-1,93.03,93.19,69.277619,200
100,1,93.19,93.03,74.129709,200
100,1,93.19,93.03,74.129777,100
200,1,93.19,93.03,74.129799,100
100,-1,93.03,93.22,74.140901,200
100,1,93.22,93.03,74.149933,100
99,-1,93.08,93.21,116.847496,400
1,-1,93.08,93.2,116.847593,400
100,-1,93.08,93.2,116.847628,400
50,-1,93.08,93.2,116.848052,400
50,-1,93.08,93.2,116.848675,300
500,-1,93.08,93.2,116.849022,300
100,-1,93.08,93.17,116.849271,100
100,-1,93.08,93.17,116.849717,100
100,-1,93.08,93.17,116.849813,100
100,-1,93.03,93.08,116.855579,100
200,1,93.08,93.03,116.856979,100
1200,-1,93.03,93.17,116.868741,200
200,-1,93.03,93.17,116.874449,200
100,-1,93.03,93.17,116.874475,200
150,-1,93.03,93.17,116.874832,100
28,-1,93.03,93.17,116.876224,100
100,1,93.17,92.97,116.883739,200
100,-1,92.97,93.17,116.888963,100
100,1,93.16,92.97,116.912943,200
100,-1,92.99,93.16,121.806526,100
100,-1,92.99,93.16,121.806634,100
100,-1,92.99,93.16,121.807112,100
100,1,93.15,92.98,121.822714,100
100,-1,92.98,93.15,121.827641,300
100,-1,92.98,93.15,122.160745,300
100,-1,92.98,93.15,122.160876,300
100,-1,92.98,93.15,122.16124,300
100,-1,92.98,93.15,122.370331,100
100,1,93.14,92.98,122.375119,100
100,-1,92.97,93.14,122.382501,100
100,-1,92.97,93.14,122.393868,100
200,-1,92.97,93.14,122.431227,100
100,1,93.13,92.97,122.439474,200
100,-1,92.97,93.13,122.44621,100
100,-1,92.97,93.12,122.467452,100
100,1,93.12,92.97,122.470675,100
100,1,93.12,92.97,122.472067,100
100,-1,92.91,93.09,122.937629,100
100,-1,92.84,93.05,123.329623,100
8,1,93.05,92.84,123.445385,200
100,-1,92.84,93.08,146.767058,200
92,-1,92.84,93.07,159.927567,200
100,-1,92.84,93.06,163.099676,200
100,-1,92.84,93.06,165.037848,100
500,-1,92.84,93.06,165.04969,100
100,-1,92.84,93.05,165.05843,100
100,-1,92.78,93.03,165.689695,100
200,-1,92.77,93.03,174.635989,100
